drivers;Driver_2_cluster_label_2.0;Driver_2_cluster_label_2.1;Driver_3_cluster_label_3.0;Driver_3_cluster_label_3.1;Driver_3_cluster_label_3.2;Driver_4_cluster_label_4.0;Driver_4_cluster_label_4.1;Driver_4_cluster_label_4.2;Driver_4_cluster_label_4.3
ELF2;1.0;15.0;2.0;13.0;1.0;13.0;1.0;2.0;0.0
ELF3;0.0;7.0;2.0;5.0;0.0;5.0;2.0;0.0;0.0
ELF4;3.0;15.0;6.0;11.0;1.0;12.0;4.0;1.0;1.0
ELF5;4.0;13.0;2.0;13.0;2.0;13.0;0.0;3.0;1.0
ELK1;2.0;14.0;4.0;11.0;1.0;12.0;3.0;1.0;0.0
ELK3;10.0;27.0;4.0;29.0;4.0;27.0;3.0;6.0;1.0
ELK4;0.0;5.0;0.0;5.0;0.0;5.0;0.0;0.0;0.0
EOMES;3.0;13.0;1.0;13.0;2.0;13.0;1.0;2.0;0.0
EPAS1;4.0;15.0;5.0;12.0;2.0;14.0;3.0;2.0;0.0
ERF;2.0;2.0;3.0;1.0;0.0;2.0;1.0;0.0;1.0
ERG;12.0;97.0;72.0;33.0;4.0;36.0;70.0;3.0;0.0
ESRRA;9.0;19.0;7.0;18.0;3.0;18.0;3.0;4.0;3.0
ESRRB;2.0;8.0;2.0;7.0;1.0;8.0;1.0;1.0;0.0
ESRRG;0.0;4.0;1.0;3.0;0.0;4.0;0.0;0.0;0.0
ETS1;2.0;13.0;1.0;14.0;0.0;13.0;0.0;1.0;1.0
ETV1;4.0;9.0;5.0;8.0;0.0;9.0;0.0;0.0;4.0
ETV2;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0
ETV3;1.0;6.0;2.0;4.0;1.0;4.0;2.0;1.0;0.0
ETV4;2.0;4.0;2.0;3.0;1.0;3.0;1.0;1.0;1.0
ETV7;3.0;10.0;1.0;10.0;2.0;10.0;1.0;2.0;0.0
FAM200B;3.0;11.0;0.0;12.0;2.0;11.0;0.0;3.0;0.0
FBXL19;3.0;17.0;4.0;15.0;1.0;15.0;3.0;2.0;0.0
FIZ1;3.0;17.0;3.0;15.0;2.0;16.0;2.0;2.0;0.0
FLI1;8.0;16.0;5.0;16.0;3.0;16.0;1.0;4.0;3.0
FLYWCH1;1.0;10.0;1.0;9.0;1.0;10.0;0.0;1.0;0.0
FOS;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0
FOSB;2.0;1.0;0.0;1.0;2.0;1.0;0.0;2.0;0.0
FOSL1;7.0;16.0;3.0;16.0;4.0;15.0;0.0;5.0;3.0
FOSL2;2.0;13.0;2.0;12.0;1.0;13.0;1.0;1.0;0.0
FOXA1;18.0;30.0;12.0;27.0;9.0;26.0;8.0;11.0;3.0
FOXA3;0.0;2.0;0.0;2.0;0.0;2.0;0.0;0.0;0.0
FOXC2;3.0;12.0;4.0;10.0;1.0;10.0;3.0;2.0;0.0
FOXF1;2.0;11.0;4.0;9.0;0.0;9.0;3.0;0.0;1.0
FOXF2;4.0;15.0;6.0;12.0;1.0;11.0;4.0;2.0;2.0
FOXJ1;11.0;29.0;9.0;25.0;6.0;24.0;9.0;7.0;0.0
FOXJ2;0.0;2.0;0.0;2.0;0.0;2.0;0.0;0.0;0.0
FOXJ3;4.0;11.0;4.0;9.0;2.0;9.0;4.0;2.0;0.0
FOXK1;3.0;17.0;0.0;17.0;3.0;17.0;0.0;3.0;0.0
FOXK2;4.0;16.0;4.0;15.0;1.0;15.0;3.0;2.0;0.0
FOXL1;0.0;6.0;1.0;5.0;0.0;6.0;0.0;0.0;0.0
FOXM1;5.0;6.0;5.0;5.0;1.0;4.0;2.0;2.0;3.0
FOXN2;4.0;17.0;5.0;15.0;1.0;15.0;3.0;2.0;1.0
FOXN3;5.0;8.0;1.0;8.0;4.0;8.0;1.0;4.0;0.0
FOXO1;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
FOXO4;5.0;19.0;8.0;15.0;1.0;16.0;6.0;1.0;1.0
FOXP3;3.0;12.0;5.0;9.0;1.0;9.0;5.0;1.0;0.0
FOXP4;0.0;9.0;1.0;8.0;0.0;9.0;0.0;0.0;0.0
FOXQ1;0.0;7.0;2.0;5.0;0.0;5.0;2.0;0.0;0.0
FOXS1;2.0;11.0;1.0;11.0;1.0;11.0;1.0;1.0;0.0
GABPA;8.0;30.0;8.0;27.0;3.0;28.0;5.0;4.0;1.0
GATA2;9.0;27.0;7.0;25.0;4.0;25.0;3.0;5.0;3.0
GATA3;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0
GATA5;2.0;10.0;0.0;10.0;2.0;10.0;0.0;2.0;0.0
GATAD2A;6.0;17.0;4.0;15.0;4.0;16.0;3.0;4.0;0.0
GATAD2B;2.0;20.0;4.0;17.0;1.0;17.0;3.0;2.0;0.0
GFI1;1.0;3.0;1.0;3.0;0.0;3.0;0.0;0.0;1.0
GLI1;2.0;4.0;2.0;3.0;1.0;3.0;1.0;1.0;1.0
GLI2;17.0;31.0;12.0;29.0;7.0;29.0;4.0;9.0;6.0
GLI3;9.0;14.0;2.0;13.0;8.0;14.0;1.0;8.0;0.0
GLI4;3.0;74.0;0.0;76.0;1.0;76.0;0.0;1.0;0.0
GLIS2;0.0;12.0;3.0;9.0;0.0;9.0;3.0;0.0;0.0
GLIS3;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0
GLYR1;4.0;33.0;6.0;28.0;3.0;29.0;4.0;3.0;1.0
GMEB1;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0
GMEB2;8.0;22.0;3.0;22.0;5.0;22.0;1.0;6.0;1.0
GPBP1;2.0;11.0;4.0;9.0;0.0;9.0;3.0;1.0;0.0
GPBP1L1;1.0;9.0;3.0;7.0;0.0;8.0;2.0;0.0;0.0
GRHL1;2.0;13.0;1.0;13.0;1.0;13.0;0.0;2.0;0.0
GRHL2;12.0;109.0;1.0;113.0;7.0;109.0;1.0;11.0;0.0
GRHL3;4.0;21.0;7.0;15.0;3.0;18.0;3.0;3.0;1.0
GTF2B;2.0;4.0;1.0;5.0;0.0;4.0;0.0;1.0;1.0
GTF2I;42.0;41.0;0.0;45.0;38.0;44.0;0.0;39.0;0.0
GTF2IRD1;8.0;13.0;0.0;13.0;8.0;13.0;0.0;8.0;0.0
GTF2IRD2B;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0
GTF3A;7.0;15.0;2.0;16.0;4.0;15.0;1.0;5.0;1.0
HBP1;21.0;42.0;2.0;43.0;18.0;43.0;1.0;19.0;0.0
HES4;3.0;6.0;3.0;6.0;0.0;6.0;1.0;1.0;1.0
HES6;3.0;10.0;2.0;10.0;1.0;10.0;2.0;1.0;0.0
HEYL;0.0;11.0;2.0;9.0;0.0;9.0;2.0;0.0;0.0
HHEX;0.0;2.0;0.0;2.0;0.0;2.0;0.0;0.0;0.0
HIC1;0.0;4.0;1.0;3.0;0.0;3.0;1.0;0.0;0.0
HIF1A;8.0;21.0;6.0;19.0;4.0;20.0;2.0;6.0;1.0
HIF3A;2.0;10.0;2.0;9.0;1.0;9.0;2.0;1.0;0.0
HINFP;6.0;14.0;3.0;15.0;2.0;15.0;2.0;3.0;0.0
HIVEP1;1.0;7.0;3.0;5.0;0.0;6.0;2.0;0.0;0.0
HLF;0.0;2.0;0.0;2.0;0.0;2.0;0.0;0.0;0.0
HLX;0.0;2.0;0.0;2.0;0.0;2.0;0.0;0.0;0.0
HMBOX1;2.0;2.0;0.0;3.0;1.0;2.0;0.0;2.0;0.0
HMG20A;0.0;5.0;2.0;3.0;0.0;3.0;2.0;0.0;0.0
HMG20B;14.0;26.0;14.0;20.0;6.0;19.0;9.0;8.0;4.0
HMGA1;5.0;26.0;5.0;24.0;2.0;24.0;4.0;2.0;1.0
HMGN3;1.0;2.0;0.0;2.0;1.0;2.0;0.0;1.0;0.0
HNF1B;5.0;6.0;4.0;5.0;2.0;6.0;1.0;2.0;2.0
HNF4G;4.0;89.0;1.0;88.0;4.0;88.0;0.0;5.0;0.0
HOXA2;1.0;8.0;1.0;7.0;1.0;8.0;0.0;1.0;0.0
HOXA3;7.0;13.0;1.0;13.0;6.0;14.0;0.0;6.0;0.0
HOXA4;18.0;21.0;1.0;24.0;14.0;23.0;0.0;16.0;0.0
HOXA6;5.0;14.0;0.0;14.0;5.0;14.0;0.0;5.0;0.0
HOXA7;3.0;4.0;0.0;4.0;3.0;4.0;0.0;3.0;0.0
HOXB3;1.0;5.0;1.0;5.0;0.0;6.0;0.0;0.0;0.0
HOXB4;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0
HOXB5;3.0;14.0;4.0;12.0;1.0;12.0;3.0;1.0;1.0
HOXB6;0.0;8.0;1.0;7.0;0.0;7.0;1.0;0.0;0.0
HOXB7;1.0;8.0;2.0;6.0;1.0;6.0;2.0;1.0;0.0
HOXB8;2.0;8.0;4.0;6.0;0.0;6.0;3.0;0.0;1.0
HOXB9;2.0;9.0;0.0;9.0;2.0;9.0;0.0;2.0;0.0
HOXD3;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0
HSF1;7.0;94.0;1.0;98.0;2.0;100.0;0.0;1.0;0.0
HSF4;5.0;29.0;7.0;23.0;4.0;24.0;5.0;4.0;1.0
IKZF1;14.0;12.0;2.0;13.0;11.0;13.0;1.0;11.0;1.0
IKZF2;0.0;6.0;2.0;4.0;0.0;6.0;0.0;0.0;0.0
